 schemaname |           tablename           |                            indexname                            |                                                                                                                   indexdef                                                                                                                   
 selemti    | conversiones_unidad_legacy    | conversiones_unidad_pkey                                        | CREATE UNIQUE INDEX conversiones_unidad_pkey ON selemti.conversiones_unidad_legacy USING btree (id)
 selemti    | conversiones_unidad_legacy    | conversiones_unidad_unidad_origen_id_unidad_destino_id_key      | CREATE UNIQUE INDEX conversiones_unidad_unidad_origen_id_unidad_destino_id_key ON selemti.conversiones_unidad_legacy USING btree (unidad_origen_id, unidad_destino_id)
 selemti    | cost_layer                    | cost_layer_pkey                                                 | CREATE UNIQUE INDEX cost_layer_pkey ON selemti.cost_layer USING btree (id)
 selemti    | cost_layer                    | ix_layer_item                                                   | CREATE INDEX ix_layer_item ON selemti.cost_layer USING btree (item_id, ts_in)
 selemti    | cost_layer                    | ix_layer_item_suc                                               | CREATE INDEX ix_layer_item_suc ON selemti.cost_layer USING btree (item_id, sucursal_id)
 selemti    | failed_jobs                   | failed_jobs_pkey                                                | CREATE UNIQUE INDEX failed_jobs_pkey ON selemti.failed_jobs USING btree (id)
 selemti    | failed_jobs                   | failed_jobs_uuid_unique                                         | CREATE UNIQUE INDEX failed_jobs_uuid_unique ON selemti.failed_jobs USING btree (uuid)
 selemti    | formas_pago                   | formas_pago_pkey                                                | CREATE UNIQUE INDEX formas_pago_pkey ON selemti.formas_pago USING btree (id)
 selemti    | formas_pago                   | ix_fp_codigo                                                    | CREATE INDEX ix_fp_codigo ON selemti.formas_pago USING btree (codigo)
 selemti    | formas_pago                   | uq_fp_huella_expr                                               | CREATE UNIQUE INDEX uq_fp_huella_expr ON selemti.formas_pago USING btree (payment_type, (COALESCE(transaction_type, ''::text)), (COALESCE(payment_sub_type, ''::text)), (COALESCE(custom_name, ''::text)), (COALESCE(custom_ref, ''::text)))
 selemti    | hist_cost_insumo              | hist_cost_insumo_pkey                                           | CREATE UNIQUE INDEX hist_cost_insumo_pkey ON selemti.hist_cost_insumo USING btree (id)
 selemti    | hist_cost_insumo              | ix_hist_cost_insumo                                             | CREATE INDEX ix_hist_cost_insumo ON selemti.hist_cost_insumo USING btree (insumo_id, fecha_efectiva DESC)
 selemti    | hist_cost_insumo              | ux_hist_cost_insumo                                             | CREATE UNIQUE INDEX ux_hist_cost_insumo ON selemti.hist_cost_insumo USING btree (insumo_id, fecha_efectiva, (COALESCE(valid_to, '9999-12-31'::date)))
 selemti    | hist_cost_receta              | hist_cost_receta_pkey                                           | CREATE UNIQUE INDEX hist_cost_receta_pkey ON selemti.hist_cost_receta USING btree (id)
 selemti    | hist_cost_receta              | ix_hist_cost_receta                                             | CREATE INDEX ix_hist_cost_receta ON selemti.hist_cost_receta USING btree (receta_version_id, fecha_calculo)
 selemti    | historial_costos_item         | historial_costos_item_item_id_fecha_efectiva_version_datos_key  | CREATE UNIQUE INDEX historial_costos_item_item_id_fecha_efectiva_version_datos_key ON selemti.historial_costos_item USING btree (item_id, fecha_efectiva, version_datos)
 selemti    | historial_costos_item         | historial_costos_item_pkey                                      | CREATE UNIQUE INDEX historial_costos_item_pkey ON selemti.historial_costos_item USING btree (id)
 selemti    | historial_costos_item         | idx_historial_costos_item_fecha                                 | CREATE INDEX idx_historial_costos_item_fecha ON selemti.historial_costos_item USING btree (item_id, fecha_efectiva DESC)
 selemti    | historial_costos_receta       | historial_costos_receta_pkey                                    | CREATE UNIQUE INDEX historial_costos_receta_pkey ON selemti.historial_costos_receta USING btree (id)
 selemti    | insumo                        | insumo_cat_sub_cons_idx                                         | CREATE INDEX insumo_cat_sub_cons_idx ON selemti.insumo USING btree (categoria_codigo, subcategoria_codigo, consecutivo)
 selemti    | insumo                        | insumo_codigo_unique                                            | CREATE UNIQUE INDEX insumo_codigo_unique ON selemti.insumo USING btree (codigo)
 selemti    | insumo                        | insumo_pkey                                                     | CREATE UNIQUE INDEX insumo_pkey ON selemti.insumo USING btree (id)
 selemti    | insumo                        | insumo_sku_key                                                  | CREATE UNIQUE INDEX insumo_sku_key ON selemti.insumo USING btree (sku)
 selemti    | insumo_presentacion           | insumo_presentacion_pkey                                        | CREATE UNIQUE INDEX insumo_presentacion_pkey ON selemti.insumo_presentacion USING btree (id)
 selemti    | insumo_proveedor_presentacion | insumo_proveedor_presentacion_pkey                              | CREATE UNIQUE INDEX insumo_proveedor_presentacion_pkey ON selemti.insumo_proveedor_presentacion USING btree (id)
 selemti    | insumo_proveedor_presentacion | ipp_activo_idx                                                  | CREATE INDEX ipp_activo_idx ON selemti.insumo_proveedor_presentacion USING btree (activo)
 selemti    | insumo_proveedor_presentacion | ipp_insumo_idx                                                  | CREATE INDEX ipp_insumo_idx ON selemti.insumo_proveedor_presentacion USING btree (insumo_id)
 selemti    | insumo_proveedor_presentacion | ipp_proveedor_idx                                               | CREATE INDEX ipp_proveedor_idx ON selemti.insumo_proveedor_presentacion USING btree (proveedor_id)
 selemti    | insumo_proveedor_presentacion | ipp_uni                                                         | CREATE UNIQUE INDEX ipp_uni ON selemti.insumo_proveedor_presentacion USING btree (insumo_id, proveedor_id, uom_compra_id, cantidad_en_uom_compra)
 selemti    | inv_consumo_pos               | inv_consumo_pos_pkey                                            | CREATE UNIQUE INDEX inv_consumo_pos_pkey ON selemti.inv_consumo_pos USING btree (id)
 selemti    | inv_consumo_pos               | inv_consumo_pos_procesado_idx                                   | CREATE INDEX inv_consumo_pos_procesado_idx ON selemti.inv_consumo_pos USING btree (procesado)
 selemti    | inv_consumo_pos               | inv_consumo_pos_requiere_reproceso_idx                          | CREATE INDEX inv_consumo_pos_requiere_reproceso_idx ON selemti.inv_consumo_pos USING btree (requiere_reproceso)
 selemti    | inv_consumo_pos               | inv_consumo_pos_ticket_id_ticket_item_id_key                    | CREATE UNIQUE INDEX inv_consumo_pos_ticket_id_ticket_item_id_key ON selemti.inv_consumo_pos USING btree (ticket_id, ticket_item_id)
 selemti    | inv_consumo_pos_det           | inv_consumo_pos_det_pkey                                        | CREATE UNIQUE INDEX inv_consumo_pos_det_pkey ON selemti.inv_consumo_pos_det USING btree (id)
 selemti    | inv_consumo_pos_det           | inv_consumo_pos_det_procesado_idx                               | CREATE INDEX inv_consumo_pos_det_procesado_idx ON selemti.inv_consumo_pos_det USING btree (procesado)
 selemti    | inv_consumo_pos_det           | inv_consumo_pos_det_requiere_reproceso_idx                      | CREATE INDEX inv_consumo_pos_det_requiere_reproceso_idx ON selemti.inv_consumo_pos_det USING btree (requiere_reproceso)
 selemti    | inv_consumo_pos_log           | inv_consumo_pos_log_pkey                                        | CREATE UNIQUE INDEX inv_consumo_pos_log_pkey ON selemti.inv_consumo_pos_log USING btree (id)
 selemti    | inv_consumo_pos_log           | inv_consumo_pos_log_ticket_id_index                             | CREATE INDEX inv_consumo_pos_log_ticket_id_index ON selemti.inv_consumo_pos_log USING btree (ticket_id)
 selemti    | inv_stock_policy              | inv_stock_policy_item_store_unique                              | CREATE UNIQUE INDEX inv_stock_policy_item_store_unique ON selemti.inv_stock_policy USING btree (item_id, sucursal_id)
 selemti    | inv_stock_policy              | inv_stock_policy_pkey                                           | CREATE UNIQUE INDEX inv_stock_policy_pkey ON selemti.inv_stock_policy USING btree (id)
 selemti    | inventory_batch               | idx_inventory_batch_caducidad                                   | CREATE INDEX idx_inventory_batch_caducidad ON selemti.inventory_batch USING btree (fecha_caducidad)
 selemti    | inventory_batch               | idx_inventory_batch_item                                        | CREATE INDEX idx_inventory_batch_item ON selemti.inventory_batch USING btree (item_id)
 selemti    | inventory_batch               | inventory_batch_pkey                                            | CREATE UNIQUE INDEX inventory_batch_pkey ON selemti.inventory_batch USING btree (id)
 selemti    | inventory_batch               | ix_ib_item_caduc                                                | CREATE INDEX ix_ib_item_caduc ON selemti.inventory_batch USING btree (item_id, fecha_caducidad)
 selemti    | inventory_count_lines         | inventory_count_lines_inventory_batch_id_index                  | CREATE INDEX inventory_count_lines_inventory_batch_id_index ON selemti.inventory_count_lines USING btree (inventory_batch_id)
 selemti    | inventory_count_lines         | inventory_count_lines_inventory_count_id_index                  | CREATE INDEX inventory_count_lines_inventory_count_id_index ON selemti.inventory_count_lines USING btree (inventory_count_id)
 selemti    | inventory_count_lines         | inventory_count_lines_item_id_index                             | CREATE INDEX inventory_count_lines_item_id_index ON selemti.inventory_count_lines USING btree (item_id)
 selemti    | inventory_count_lines         | inventory_count_lines_pkey                                      | CREATE UNIQUE INDEX inventory_count_lines_pkey ON selemti.inventory_count_lines USING btree (id)
 selemti    | inventory_counts              | inventory_counts_almacen_id_index                               | CREATE INDEX inventory_counts_almacen_id_index ON selemti.inventory_counts USING btree (almacen_id)
 selemti    | inventory_counts              | inventory_counts_cerrado_en_index                               | CREATE INDEX inventory_counts_cerrado_en_index ON selemti.inventory_counts USING btree (cerrado_en)
 selemti    | inventory_counts              | inventory_counts_estado_index                                   | CREATE INDEX inventory_counts_estado_index ON selemti.inventory_counts USING btree (estado)
 selemti    | inventory_counts              | inventory_counts_folio_unique                                   | CREATE UNIQUE INDEX inventory_counts_folio_unique ON selemti.inventory_counts USING btree (folio)
 selemti    | inventory_counts              | inventory_counts_pkey                                           | CREATE UNIQUE INDEX inventory_counts_pkey ON selemti.inventory_counts USING btree (id)
 selemti    | inventory_counts              | inventory_counts_programado_para_index                          | CREATE INDEX inventory_counts_programado_para_index ON selemti.inventory_counts USING btree (programado_para)
 selemti    | inventory_counts              | inventory_counts_sucursal_id_index                              | CREATE INDEX inventory_counts_sucursal_id_index ON selemti.inventory_counts USING btree (sucursal_id)
 selemti    | inventory_snapshot            | idx_invshot_branch_date                                         | CREATE INDEX idx_invshot_branch_date ON selemti.inventory_snapshot USING btree (branch_id, snapshot_date)
 selemti    | inventory_snapshot            | idx_invshot_item_date                                           | CREATE INDEX idx_invshot_item_date ON selemti.inventory_snapshot USING btree (item_id, snapshot_date)
 selemti    | inventory_snapshot            | idx_invshot_variance                                            | CREATE INDEX idx_invshot_variance ON selemti.inventory_snapshot USING btree (snapshot_date, branch_id, variance_qty)
 selemti    | inventory_snapshot            | pk_inventory_snapshot                                           | CREATE UNIQUE INDEX pk_inventory_snapshot ON selemti.inventory_snapshot USING btree (snapshot_date, branch_id, item_id)
 selemti    | inventory_wastes              | inventory_wastes_inventory_batch_id_index                       | CREATE INDEX inventory_wastes_inventory_batch_id_index ON selemti.inventory_wastes USING btree (inventory_batch_id)
 selemti    | inventory_wastes              | inventory_wastes_item_id_index                                  | CREATE INDEX inventory_wastes_item_id_index ON selemti.inventory_wastes USING btree (item_id)
 selemti    | inventory_wastes              | inventory_wastes_pkey                                           | CREATE UNIQUE INDEX inventory_wastes_pkey ON selemti.inventory_wastes USING btree (id)
 selemti    | inventory_wastes              | inventory_wastes_production_order_id_index                      | CREATE INDEX inventory_wastes_production_order_id_index ON selemti.inventory_wastes USING btree (production_order_id)
 selemti    | inventory_wastes              | inventory_wastes_sucursal_id_index                              | CREATE INDEX inventory_wastes_sucursal_id_index ON selemti.inventory_wastes USING btree (sucursal_id)
 selemti    | item_categories               | item_categories_codigo_key                                      | CREATE UNIQUE INDEX item_categories_codigo_key ON selemti.item_categories USING btree (codigo)
 selemti    | item_categories               | item_categories_pkey                                            | CREATE UNIQUE INDEX item_categories_pkey ON selemti.item_categories USING btree (id)
 selemti    | item_categories               | item_categories_slug_key                                        | CREATE UNIQUE INDEX item_categories_slug_key ON selemti.item_categories USING btree (slug)
 selemti    | item_category_counters        | item_category_counters_pkey                                     | CREATE UNIQUE INDEX item_category_counters_pkey ON selemti.item_category_counters USING btree (category_id)
 selemti    | item_vendor                   | item_vendor_pkey                                                | CREATE UNIQUE INDEX item_vendor_pkey ON selemti.item_vendor USING btree (item_id, vendor_id, presentacion)
 selemti    | item_vendor                   | ix_itemvendor_preferente                                        | CREATE INDEX ix_itemvendor_preferente ON selemti.item_vendor USING btree (preferente)
 selemti    | item_vendor                   | ix_itemvendor_vendor_sku                                        | CREATE INDEX ix_itemvendor_vendor_sku ON selemti.item_vendor USING btree (vendor_id, vendor_sku)
 selemti    | item_vendor                   | ux_item_vendor_preferente_unique                                | CREATE UNIQUE INDEX ux_item_vendor_preferente_unique ON selemti.item_vendor USING btree (item_id) WHERE (preferente = true)
 selemti    | item_vendor_prices            | item_vendor_prices_pkey                                         | CREATE UNIQUE INDEX item_vendor_prices_pkey ON selemti.item_vendor_prices USING btree (id)
 selemti    | item_vendor_prices            | ix_ivp_item                                                     | CREATE INDEX ix_ivp_item ON selemti.item_vendor_prices USING btree (item_id)
 selemti    | item_vendor_prices            | ix_ivp_validity                                                 | CREATE INDEX ix_ivp_validity ON selemti.item_vendor_prices USING btree (item_id, effective_from, effective_to)
 selemti    | item_vendor_prices            | ix_ivp_vendor                                                   | CREATE INDEX ix_ivp_vendor ON selemti.item_vendor_prices USING btree (vendor_id)
 selemti    | items                         | items_pkey                                                      | CREATE UNIQUE INDEX items_pkey ON selemti.items USING btree (id)
 selemti    | items                         | ux_items_item_code                                              | CREATE UNIQUE INDEX ux_items_item_code ON selemti.items USING btree (item_code)
 selemti    | job_batches                   | job_batches_pkey                                                | CREATE UNIQUE INDEX job_batches_pkey ON selemti.job_batches USING btree (id)
 selemti    | job_recalc_queue              | job_recalc_queue_pkey                                           | CREATE UNIQUE INDEX job_recalc_queue_pkey ON selemti.job_recalc_queue USING btree (id)
 selemti    | jobs                          | jobs_pkey                                                       | CREATE UNIQUE INDEX jobs_pkey ON selemti.jobs USING btree (id)
 selemti    | jobs                          | jobs_queue_index                                                | CREATE INDEX jobs_queue_index ON selemti.jobs USING btree (queue)
 selemti    | labor_roles                   | labor_roles_activo_index                                        | CREATE INDEX labor_roles_activo_index ON selemti.labor_roles USING btree (activo)
 selemti    | labor_roles                   | labor_roles_clave_unique                                        | CREATE UNIQUE INDEX labor_roles_clave_unique ON selemti.labor_roles USING btree (clave)
 selemti    | labor_roles                   | labor_roles_pkey                                                | CREATE UNIQUE INDEX labor_roles_pkey ON selemti.labor_roles USING btree (id)
 selemti    | lote                          | ix_lote_cad                                                     | CREATE INDEX ix_lote_cad ON selemti.lote USING btree (caducidad)
 selemti    | lote                          | ix_lote_insumo                                                  | CREATE INDEX ix_lote_insumo ON selemti.lote USING btree (insumo_id)
 selemti    | lote                          | lote_pkey                                                       | CREATE UNIQUE INDEX lote_pkey ON selemti.lote USING btree (id)
 selemti    | menu_engineering_snapshots    | menu_engineering_snapshots_pkey                                 | CREATE UNIQUE INDEX menu_engineering_snapshots_pkey ON selemti.menu_engineering_snapshots USING btree (id)
 selemti    | menu_engineering_snapshots    | selemti_menu_engineering_snapshots_menu_item_id_period_start_pe | CREATE UNIQUE INDEX selemti_menu_engineering_snapshots_menu_item_id_period_start_pe ON selemti.menu_engineering_snapshots USING btree (menu_item_id, period_start, period_end)
 selemti    | menu_item_sync_map            | menu_item_sync_map_pkey                                         | CREATE UNIQUE INDEX menu_item_sync_map_pkey ON selemti.menu_item_sync_map USING btree (id)
 selemti    | menu_item_sync_map            | selemti_menu_item_sync_map_pos_identifier_channel_unique        | CREATE UNIQUE INDEX selemti_menu_item_sync_map_pos_identifier_channel_unique ON selemti.menu_item_sync_map USING btree (pos_identifier, channel)
 selemti    | menu_items                    | menu_items_pkey                                                 | CREATE UNIQUE INDEX menu_items_pkey ON selemti.menu_items USING btree (id)
 selemti    | menu_items                    | selemti_menu_items_plu_unique                                   | CREATE UNIQUE INDEX selemti_menu_items_plu_unique ON selemti.menu_items USING btree (plu)
 selemti    | merma                         | merma_pkey                                                      | CREATE UNIQUE INDEX merma_pkey ON selemti.merma USING btree (id)
 selemti    | migrations                    | migrations_pkey                                                 | CREATE UNIQUE INDEX migrations_pkey ON selemti.migrations USING btree (id)
 selemti    | model_has_permissions         | model_has_permissions_model_id_model_type_index                 | CREATE INDEX model_has_permissions_model_id_model_type_index ON selemti.model_has_permissions USING btree (model_id, model_type)
 selemti    | model_has_permissions         | model_has_permissions_pkey                                      | CREATE UNIQUE INDEX model_has_permissions_pkey ON selemti.model_has_permissions USING btree (permission_id, model_id, model_type)
 selemti    | model_has_roles               | model_has_roles_model_id_model_type_index                       | CREATE INDEX model_has_roles_model_id_model_type_index ON selemti.model_has_roles USING btree (model_id, model_type)
 selemti    | model_has_roles               | model_has_roles_pkey                                            | CREATE UNIQUE INDEX model_has_roles_pkey ON selemti.model_has_roles USING btree (role_id, model_id, model_type)
 selemti    | modificadores_pos             | modificadores_pos_codigo_pos_key                                | CREATE UNIQUE INDEX modificadores_pos_codigo_pos_key ON selemti.modificadores_pos USING btree (codigo_pos)
 selemti    | modificadores_pos             | modificadores_pos_pkey                                          | CREATE UNIQUE INDEX modificadores_pos_pkey ON selemti.modificadores_pos USING btree (id)
 selemti    | mov_inv                       | idx_mov_inv_item_ts                                             | CREATE INDEX idx_mov_inv_item_ts ON selemti.mov_inv USING btree (item_id, ts)
 selemti    | mov_inv                       | idx_mov_inv_tipo_fecha                                          | CREATE INDEX idx_mov_inv_tipo_fecha ON selemti.mov_inv USING btree (tipo, ts)
 selemti    | mov_inv                       | ix_mov_item_id                                                  | CREATE INDEX ix_mov_item_id ON selemti.mov_inv USING btree (item_id)
 selemti    | mov_inv                       | ix_mov_item_ts                                                  | CREATE INDEX ix_mov_item_ts ON selemti.mov_inv USING btree (item_id, ts DESC)
 selemti    | mov_inv                       | ix_mov_ref                                                      | CREATE INDEX ix_mov_ref ON selemti.mov_inv USING btree (ref_tipo, ref_id)
 selemti    | mov_inv                       | ix_mov_sucursal                                                 | CREATE INDEX ix_mov_sucursal ON selemti.mov_inv USING btree (sucursal_id)
 selemti    | mov_inv                       | ix_mov_tipo                                                     | CREATE INDEX ix_mov_tipo ON selemti.mov_inv USING btree (tipo)
 selemti    | mov_inv                       | ix_mov_ts                                                       | CREATE INDEX ix_mov_ts ON selemti.mov_inv USING btree (ts)
